키	한국어	베트남어	번역(감수)
dashboard.services.pickup.title	공항 픽업	Đón sân bay	
dashboard.services.pickup.driverAssigned	기사 배정됨	Đã phân tài xế	
dashboard.services.pickup.scheduleNow	지금 예약	Đặt lịch ngay	
dashboard.services.pickup.driverDetails	기사 정보	Chi tiết tài xế	
dashboard.services.insurance.title	안전 보호	Bảo vệ an toàn	
dashboard.services.insurance.active	활성	Hoạt động	
dashboard.services.insurance.coverage	보장 금액	Số tiền bảo hiểm	
dashboard.services.insurance.viewCertificate	증명서 보기	Xem chứng nhận	
dashboard.services.insurance.careManager	담당 매니저: 이정석 (WhatsApp)	Quản lý chăm sóc: Lee Jung Suk (WhatsApp)	
dashboard.services.hotline.title	24/7 지원	Hỗ trợ 24/7	
dashboard.services.hotline.availableNow	지금 이용 가능	Sẵn sàng ngay	
dashboard.services.hotline.description	다국어 의료팀이 언제든지 도와드립니다	Đội y tế đa ngôn ngữ sẵn sàng hỗ trợ	
dashboard.services.hotline.chatButton	의료진과 채팅	Chat với bác sĩ	
dashboard.services.hotline.callButton	핫라인 전화	Gọi đường dây nóng	
dashboard.upsell.title	안전 업그레이드	Nâng cấp an toàn	
dashboard.upsell.description	현재 <strong>Essential 플랜</strong>을 이용 중입니다. 왕복 픽업 및 보장 혜택 추가하시겠습니까?	Bạn đang dùng <strong>Gói Essential</strong>. Thêm đón về & bảo hiểm nâng cao?	
dashboard.upsell.features.roundtrip	왕복 공항 픽업	Đón tiễn sân bay khứ hồi	
dashboard.upsell.features.insurance	최대 $15,000 보장 혜택	Bảo hiểm lên đến $15,000	
dashboard.upsell.features.priority	우선 의료 지원	Hỗ trợ y tế ưu tiên	
dashboard.upsell.price	업그레이드 가격	Nâng cấp chỉ	
dashboard.upsell.oneTime	1회 결제	Thanh toán một lần	
dashboard.upsell.button	Safety Pass로 업그레이드	Nâng cấp lên Safety Pass	
dashboard.footer.help	예약에 대해 도움이 필요하거나 질문이 있으신가요?	Cần trợ giúp hoặc có câu hỏi?	
dashboard.footer.contact	지원팀 문의	Liên hệ hỗ trợ	
footer.tagline	한국 의료 여행을 위한 신뢰할 수 있는 파트너	Đối tác đáng tin cậy cho du lịch y tế Hàn Quốc	
footer.about.title	회사 소개	Giới thiệu	
footer.about.aboutUs	회사 소개	Về chúng tôi	
footer.about.howItWorks	이용 방법	Cách hoạt động	
footer.about.partners	파트너 병원	Phòng khám đối tác	
footer.about.blog	블로그	Blog	
footer.services.title	서비스	Dịch vụ	
footer.services.essentialPass	Essential Pass	Essential Pass	
footer.services.safetyPass	Safety Pass	Safety Pass	
footer.services.vipPass	VIP Pass	VIP Pass	
footer.services.freeOffer	무료 혜택	Ưu đãi miễn phí	
footer.support.title	지원	Hỗ trợ	
footer.support.helpCenter	고객센터	Trung tâm trợ giúp	
footer.support.contact	문의하기	Liên hệ	
footer.support.faq	자주 묻는 질문	Câu hỏi thường gặp	
footer.support.insurance	보장 정보	Thông tin bảo vệ	
footer.legal.title	법적 정보	Pháp lý	
footer.legal.privacy	개인정보 처리방침	Chính sách bảo mật	
footer.legal.terms	이용약관	Điều khoản dịch vụ	
footer.legal.medical	의료 면책조항	Tuyên bố từ chối y tế	
footer.rights	All rights reserved.	Bảo lưu mọi quyền.	
footer.medical	Seoul Beauty Pass는 의료 서비스 제공자가 아니며 여행 지원 서비스를 제공합니다.	BBG Medical Pass không phải nhà cung cấp y tế và cung cấp dịch vụ hỗ trợ du lịch.	
common.learnMore	자세히 보기	Tìm hiểu thêm	
common.getStarted	시작하기	Bắt đầu	
common.contactUs	문의하기	Liên hệ	
common.readMore	더 보기	Đọc thêm	
common.close	닫기	Đóng	
common.submit	제출	Gửi	
common.cancel	취소	Hủy	
common.save	저장	Lưu	
common.edit	수정	Sửa	
common.delete	삭제	Xóa	
common.loading	로딩 중...	Đang tải...	
common.error	오류가 발생했습니다	Đã xảy ra lỗi	
common.success	성공!	Thành công!	
