키	한국어	태국어	번역(감수)
dashboard.pass.downloadButton	PDF 바우처 다운로드	ดาวน์โหลดบัตรกำนัล PDF	
dashboard.services.title	서비스	บริการของคุณ	
dashboard.services.pickup.title	공항 픽업	รับที่สนามบิน	
dashboard.services.pickup.driverAssigned	기사 배정됨	มอบหมายคนขับแล้ว	
dashboard.services.pickup.scheduleNow	지금 예약	จองเลย	
dashboard.services.pickup.driverDetails	기사 정보	รายละเอียดคนขับ	
dashboard.services.insurance.title	안전 보호	การป้องกันความปลอดภัย	
dashboard.services.insurance.active	활성	ใช้งานอยู่	
dashboard.services.insurance.coverage	보장 금액	จำนวนความคุ้มครอง	
dashboard.services.insurance.viewCertificate	증명서 보기	ดูใบรับรอง	
dashboard.services.insurance.careManager	담당 매니저: 이정석 (WhatsApp)	ผู้จัดการดูแล: Lee Jung Suk (WhatsApp)	
dashboard.services.hotline.title	24/7 지원	ความช่วยเหลือ 24/7	
dashboard.services.hotline.availableNow	지금 이용 가능	พร้อมให้บริการตอนนี้	
dashboard.services.hotline.description	다국어 의료팀이 언제든지 도와드립니다	ทีมแพทย์หลายภาษาของเราพร้อมช่วยเหลือคุณตลอดเวลา	
dashboard.services.hotline.chatButton	의료진과 채팅	แชทกับแพทย์	
dashboard.services.hotline.callButton	핫라인 전화	โทรสายด่วน	
dashboard.upsell.title	안전 업그레이드	อัพเกรดความปลอดภัยของคุณ	
dashboard.upsell.description	현재 <strong>Essential 플랜</strong>을 이용 중입니다. 왕복 픽업 및 보장 혜택 추가하시겠습니까?	ขณะนี้คุณใช้ <strong>แผน Essential</strong> เพิ่มการรับกลับและความคุ้มครองหรือไม่?	
dashboard.upsell.features.roundtrip	왕복 공항 픽업	การเดินทางไปกลับสนามบิน	
dashboard.upsell.features.insurance	최대 $15,000 보장 혜택	ความคุ้มครองสูงถึง $15,000	
dashboard.upsell.features.priority	우선 의료 지원	การสนับสนุนทางการแพทย์แบบพิเศษ	
dashboard.upsell.price	업그레이드 가격	อัพเกรดเพียง	
dashboard.upsell.oneTime	1회 결제	ชำระครั้งเดียว	
dashboard.upsell.button	Safety Pass로 업그레이드	อัพเกรดเป็น Safety Pass	
dashboard.footer.help	예약에 대해 도움이 필요하거나 질문이 있으신가요?	ต้องการความช่วยเหลือเกี่ยวกับการจองหรือมีคำถาม?	
dashboard.footer.contact	지원팀 문의	ติดต่อฝ่ายสนับสนุน	
footer.tagline	한국 의료 여행을 위한 신뢰할 수 있는 파트너	พาร์ทเนอร์ที่เชื่อถือได้สำหรับการท่องเที่ยวเพื่อการแพทย์ในเกาหลี	
footer.about.title	회사 소개	เกี่ยวกับ	
footer.about.aboutUs	회사 소개	เกี่ยวกับเรา	
footer.about.howItWorks	이용 방법	วิธีการทำงาน	
footer.about.partners	파트너 병원	คลินิกพาร์ทเนอร์	
footer.about.blog	블로그	บล็อก	
footer.services.title	서비스	บริการ	
footer.services.essentialPass	Essential Pass	Essential Pass	
footer.services.safetyPass	Safety Pass	Safety Pass	
footer.services.vipPass	VIP Pass	VIP Pass	
footer.services.freeOffer	무료 혜택	ข้อเสนอฟรี	
footer.support.title	지원	การสนับสนุน	
footer.support.helpCenter	고객센터	ศูนย์ช่วยเหลือ	
footer.support.contact	문의하기	ติดต่อเรา	
footer.support.faq	자주 묻는 질문	คำถามที่พบบ่อย	
footer.support.insurance	보장 정보	ข้อมูลความคุ้มครอง	
footer.legal.title	법적 정보	ข้อกฎหมาย	
footer.legal.privacy	개인정보 처리방침	นโยบายความเป็นส่วนตัว	
footer.legal.terms	이용약관	ข้อกำหนดการให้บริการ	
footer.legal.medical	의료 면책조항	ข้อจำกัดความรับผิดทางการแพทย์	
footer.rights	All rights reserved.	สงวนลิขสิทธิ์	
footer.medical	Seoul Beauty Pass는 의료 서비스 제공자가 아니며 여행 지원 서비스를 제공합니다.	BBG Medical Pass ไม่ใช่ผู้ให้บริการทางการแพทย์และให้บริการความช่วยเหลือในการเดินทาง	
common.learnMore	자세히 보기	เรียนรู้เพิ่มเติม	
common.getStarted	시작하기	เริ่มต้น	
common.contactUs	문의하기	ติดต่อเรา	
common.readMore	더 보기	อ่านเพิ่มเติม	
common.close	닫기	ปิด	
common.submit	제출	ส่ง	
common.cancel	취소	ยกเลิก	
common.save	저장	บันทึก	
common.edit	수정	แก้ไข	
common.delete	삭제	ลบ	
common.loading	로딩 중...	กำลังโหลด...	
common.error	오류가 발생했습니다	เกิดข้อผิดพลาด	
common.success	성공!	สำเร็จ!	
